filepath,result
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_0.wav, my selflimiting
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_1.wav, And I challenge those beliefs
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_2.wav, assertive when we change
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_3.wav, The roles which
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_4.wav, I explained to her
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_5.wav, with their relationships
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_6.wav, to go on that course
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_7.wav, in 2000
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_8.wav, Yes but
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_9.wav, people who still stutter
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_10.wav, they speak
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_11.wav, that we deal with known as stuttering
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_12.wav, Their fluency
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_13.wav, they have hey
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_14.wav, I had so many negative
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_15.wav, of the things that
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_16.wav, Each time I avoided a troubleshoot
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_17.wav, Many ways that
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_18.wav, on word substitution
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_19.wav, And so I was filled with
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_20.wav, It was a huge temptation to
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_22.wav, And when I was a very young police officer
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_24.wav, with me every day
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_25.wav, prosthetic devices
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_26.wav, that Im hearing from you now
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_27.wav, approaches that you
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_28.wav, half a century
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_29.wav, How much money
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_31.wav, And after about
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_32.wav, Let me see
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_33.wav, I vowed that I would never be
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_34.wav, But it all changed very quickly
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_35.wav, Explain to you
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_36.wav, increased to more than 300
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_37.wav, Well one person
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_38.wav, One situation
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_39.wav, your greatest fears
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_1.wav, take care of the and the more like
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_2.wav, one understands that
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_3.wav, When you were younger
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_4.wav, fights every single day
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_5.wav, like every every single day
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_6.wav, It was horrible It was
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_8.wav, Yeah it was
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/1/HeStutters_1_9.wav, I was thin and frail and
