filepath,result,fluent
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_0.wav,myself limiting,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_0.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_1.wav,and I challenge those beliefs,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_1.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_2.wav, assertive when we change,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_2.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_3.wav,the Rolls which,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_3.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_4.wav,I explained to her,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_4.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_5.wav, relations,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_5.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_6.wav,to go on that course,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_6.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_7.wav,in 2000,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_7.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_8.wav, yes but,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_8.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_9.wav, people who still start to,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_9.wav
